email,course
taylor@yahoo.com,web dev Cohort
anderson@outlook.com,speed js 
white@mail.com,HTML
martin@outlook.com,web dev Cohort
brown@mail.com,ReactJS
thomas@yahoo.com,NodeJS 
avawhite@student.edu,Python
jackson232@outlook.com,web dev Cohort
olivia.anderson@mail.com,NodeJS
anderson961@outlook.com,web dev Cohort
anderson919@mail.com,web dev Cohort
martin112@mail.com,ReactJS Full Stack
martin131@yahoo.com,JavaScript
taylor724@student.edu,TypeScript for Beginners
smith67@mail.com,TypeScript
anderson92@mail.com,Python
white557@student.edu,web dev Cohort
harris162@gmail.com,NextJS
jackson161@yahoo.com,web dev Cohort
